Job title,Company name,Location,Skills
Accountant,Scott Wilson Nepal,"Buddhanagar, New Baneshwor, Kathmandu, Nepal","Interpersonal,Management,Problem Solving,Organizational,Financial Forecasting"
Business Development Manager (B…,Reizvoll Cosmetics,"Maharajgunj , Kathmandu","Interpersonal,Communication,Taxation,Ms Office,Organizational,Financial Forecasting"
Accountant,Swisscontact | Swiss Foundation For Technical Cooperation,"Subidhanagar, Tinkune, Kathmandu","Communication,Data Analysis,Report Writing,Data Entry"
Monitoring and Evaluation Offic…,Quasar Energy Consultants,"Kathmandu , Nepal","Interpersonal,Management,Problem Solving,Time Management,Organizational"
Renewable Energy Engineer, ,"Baluwatar, Kathmandu",
Senior Program Officer –Right t…, , ,
Program Director,Morgen Global HR Consultancy,Kathmandu,"Interpersonal,Management,Communication,Organizational"
Receptionist,HLE Nepal,Pepsicola,"Communication,Presentation,Listening,Cold Calling"
Client Service Executive (Night…,Horse Shoe Incorporated Private Limited,Lalitpur,"Interpersonal,Management,Problem Solving,Time Management,Organizational"
Office Administrator,Horse Shoe Incorporated Private Limited,"Kathmandu, Nepal","Interpersonal,Management,Time Management,Microsoft Office Suite"
Head Chef, ,"Kathmandu, Nepal",
Executive Chef, , ,
Head of Marketing & Branding,Horse Shoe Incorporated Private Limited,"Kathmandu, Nepal","Interpersonal,Marketing,Management,Leadership,Analytical"
F&B Manager,Horse Shoe Incorporated Private Limited,"Kathmandu, Nepal","Interpersonal,Management,Time Management,Customer Service"
Admin Executive,International Manpower Recruitment,"Gwarko, Lalitpur, Nepal","Interpersonal,Management,Administration,Organizational"
Accountant,International Manpower Recruitment,"Gwarko, Lalitpur, Nepal","Communication,Accounting,Time Management,Analytical,Account Management"
Flutter Developer,Jaruwa Nepal,Anamnagar-29,
Copywriter,COPENNED, ,
Electrical Engineer,Sanima Middle Tamor Hydropower,"Bishalnagar, Kathmandu, Nepal","Interpersonal,Management,Sales,Time Management,Customer Service"
Sales,Tech One Global,"Bakhundole, Lalitpur","Interpersonal,Management,Communication,Leadership,Organizational"
Management Trainee,ThinkMove Solution, ,"Interpersonal,Management,Communication,Customer Service,Sales Forecasting"
Senior Sales/ Sales Officer,ThinkMove Solution, ,"Interpersonal,Management,Communication,Customer Service,Sales Forecasting"
Sales Associate,ThinkMove Solution, ,"Interpersonal,Conflict Management,Compliance,Verbal Communication,Legal Documentation"
Compliance Officer,Khalti Digital Wallet, ,
Trainee Assistant,Serene Group,"Dugar Marg, Naxal, Kathmandu","Communication Skills,Time Management Skills"
Junior Officer,Serene Group,"Dugar Marg, Naxal, Kathmandu","Communication Skills,Time Management Skills,Self Motivated"
Senior Executive Assistant (Bus…,Bugv Software Technologies,Kathmandu,"Interpersonal,Management,Communication"
Senior Graphic Designer & Multi…,Lucky Travels and Tours,Kathmandu,"Interpersonal,Communication,Creative Thinking"
Java Developer, ,"Maitidevi, Kathmandu","Javascript,Sql,Software Developer,Restful,Web Framework"
